frame_index,recording_sample_index,recording_elapsed_s,button_label,Channel1_raw
788,788,1.576000,0,1008
789,789,1.578000,0,998
790,790,1.580000,0,990
791,791,1.582000,0,993
792,792,1.584000,0,1002
793,793,1.586000,0,1007
794,794,1.588000,0,1004
795,795,1.590000,0,997
796,796,1.592000,0,996
797,797,1.594000,0,999
798,798,1.596000,0,999
799,799,1.598000,0,997
800,800,1.600000,0,999
801,801,1.602000,0,1005
802,802,1.604000,0,1006
803,803,1.606000,0,997
804,804,1.608000,0,989
805,805,1.610000,0,994
806,806,1.612000,0,1006
807,807,1.614000,0,1010
808,808,1.616000,0,1002
809,809,1.618000,0,991
810,810,1.620000,0,992
811,811,1.622000,0,1001
812,812,1.624000,0,1006
813,813,1.626000,0,1002
814,814,1.628000,0,996
815,815,1.630000,0,996
816,816,1.632000,0,1000
817,817,1.634000,0,1001
818,818,1.636000,0,999
819,819,1.638000,0,999
820,820,1.640000,0,1002
821,821,1.642000,0,1002
822,822,1.644000,0,996
823,823,1.646000,0,992
824,824,1.648000,0,999
825,825,1.650000,0,1009
826,826,1.652000,0,1008
827,827,1.654000,0,995
828,828,1.656000,0,988
829,829,1.658000,0,995
830,830,1.660000,0,1007
831,831,1.662000,0,1008
832,832,1.664000,0,999
833,833,1.666000,0,993
834,834,1.668000,0,996
835,835,1.670000,0,1002
836,836,1.672000,0,1002
837,837,1.674000,0,998
838,838,1.676000,0,998
839,839,1.678000,0,1003
840,840,1.680000,0,1003
841,841,1.682000,0,997
842,842,1.684000,0,993
843,843,1.686000,0,998
844,844,1.688000,0,1006
845,845,1.690000,0,1005
846,846,1.692000,0,996
847,847,1.694000,0,992
848,848,1.696000,0,998
849,849,1.698000,0,1006
850,850,1.700000,0,1005
851,851,1.702000,0,996
852,852,1.704000,0,992
853,853,1.706000,0,998
854,854,1.708000,0,1006
855,855,1.710000,0,1006
856,856,1.712000,0,999
857,857,1.714000,0,993
858,858,1.716000,0,996
859,859,1.718000,0,1001
860,860,1.720000,0,1003
861,861,1.722000,0,1001
862,862,1.724000,0,1000
863,863,1.726000,0,1001
864,864,1.728000,0,999
865,865,1.730000,0,994
866,866,1.732000,0,994
867,867,1.734000,0,1002
868,868,1.736000,0,1009
869,869,1.738000,0,1006
870,870,1.740000,0,995
871,871,1.742000,0,989
872,872,1.744000,0,995
873,873,1.746000,0,1005
874,874,1.748000,0,1008
875,875,1.750000,0,1001
876,876,1.752000,0,995
877,877,1.754000,0,996
878,878,1.756000,0,1000
879,879,1.758000,0,1000
880,880,1.760000,0,997
881,881,1.762000,0,1000
882,882,1.764000,0,1005
883,883,1.766000,0,1004
884,884,1.768000,0,995
885,885,1.770000,0,991
886,886,1.772000,0,997
887,887,1.774000,0,1006
888,888,1.776000,0,1007
889,889,1.778000,0,999
890,890,1.780000,0,994
891,891,1.782000,0,996
892,892,1.784000,0,1001
893,893,1.786000,0,1003
894,894,1.788000,0,999
895,895,1.790000,0,998
896,896,1.792000,0,1001
897,897,1.794000,0,1002
898,898,1.796000,0,999
899,899,1.798000,0,995
900,900,1.800000,0,996
901,901,1.802000,0,1002
902,902,1.804000,0,1006
903,903,1.806000,0,1001
904,904,1.808000,0,995
905,905,1.810000,0,993
906,906,1.812000,0,1000
907,907,1.814000,0,1007
